Run, Number optimized
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 1
67, 1
68, 1
69, 1
70, 1
71, 1
72, 1
73, 1
74, 1
75, 1
76, 1
77, 1
78, 1
79, 1
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
86, 1
87, 1
88, 1
89, 1
90, 1
91, 1
92, 1
93, 1
94, 1
95, 1
96, 1
97, 1
98, 1
99, 1
100, 1
101, 1
102, 1
103, 1
104, 1
105, 1
106, 1
107, 1
108, 1
109, 1
110, 1
111, 1
112, 1
113, 1
114, 1
115, 1
116, 1
117, 1
118, 1
119, 1
120, 1
121, 1
122, 1
123, 1
124, 1
125, 1
126, 1
127, 1
128, 1
129, 1
130, 1
131, 1
132, 1
133, 1
134, 1
135, 1
136, 1
137, 1
138, 1
139, 1
140, 1
141, 1
142, 1
143, 1
144, 1
145, 1
146, 1
147, 1
148, 1
149, 1
150, 1
151, 1
152, 1
153, 1
154, 1
155, 1
156, 1
157, 1
158, 1
159, 1
160, 1
161, 1
162, 1
163, 1
164, 1
165, 1
166, 1
167, 1
168, 1
169, 1
170, 1
171, 1
172, 1
173, 1
174, 1
175, 1
176, 1
177, 1
178, 1
179, 1
180, 1
181, 1
182, 1
183, 1
184, 1
185, 1
186, 1
187, 1
188, 1
189, 1
190, 1
191, 1
192, 1
193, 1
194, 1
195, 1
196, 1
197, 1
198, 1
199, 1
200, 1
201, 1
202, 1
203, 1
204, 1
205, 1
206, 1
207, 1
208, 1
209, 1
210, 1
211, 1
212, 1
213, 1
214, 1
215, 1
216, 1
217, 1
218, 1
219, 1
220, 1
221, 1
222, 1
223, 1
